msxssr,unit_opt_loc,whsyjsf,tax_amt,sale_inco,comp_nm,tax_reg_no,org_no,uni_social_crd_cd,count_dt
,,,,,象山石浦晓美足浴店,,MABT5PEW-X,92330225MABT5PEWX0,
,,,,,象山凤舞九剑太极馆,,MA2J7UHY-4,92330225MA2J7UHY4M,
,,,,,象山新桥和逸客栈,,MA2CHLEP-5,92330225MA2CHLEP5U,
,,,,,宁波象保合作区乐乙影视工作室,,MA2CHU8W-9,92330201MA2CHU8W95,
,,,,,象山石浦牧汐民宿,,MA2GTKC1-2,92330225MA2GTKC129,
,,,,,宁波道德贸易有限公司,,MA2CHQDN-6,91330201MA2CHQDN6F,
,,,,,象山唐吉可得文化传媒有限公司,,MA2H7587-6,91330225MA2H75876J,
,,,,,象山清泉映画文化传媒工作室,,MA2J4K33-8,92330225MA2J4K338M,
,,,,,象山善道文化传媒工作室,,MA2H6HCT-9,92330225MA2H6HCT92,
,,,,,象山菡斯文化传媒工作室,,MA2J4LMX-7,92330225MA2J4LMX7T,
,,,,,象山海盗船影视文化工作室,,MA7MFAF3-9,92330225MA7MFAF39P,
,,,,,象山青姨餐厅,,MA2AJHYC-4,92330225MA2AJHYC45,
,,,,,象山耀眼影视文化工作室,,MA2J4G2Y-4,92330225MA2J4G2Y4R,
,,,,,象山天玺璧合影视文化有限公司,,MA2GT3JG-3,91330225MA2GT3JG3D,
,,,,,宁波小影文化传媒有限公司,,MABUF2E0-0,91330225MABUF2E00L,
,,,,,象山平业文化传媒工作室,,MA2KN1MR-8,92330225MA2KN1MR8E,
,,,,,宁波视文眼镜有限公司,,MACP0DB1-5,91330225MACP0DB15B,
,,,,,象山立帆影视文化工作室,,MA7CBJD3-X,92330225MA7CBJD3XX,
,,,,,象山足逸足浴店,,MA2GTKKD-1,92330225MA2GTKKD1A,
,,,,,宁波迦乐文化传媒有限公司,,MACTCM3L-1,91330225MACTCM3L1K,
,,,,,丽氏影视传媒（象山）有限公司,,MA2KQDLX-X,91330225MA2KQDLXX7,
,,,,,象山栽云种月文化传媒工作室（个体工商户）,,MAD6PRMW-8,92330225MAD6PRMW89,
,,,,,象山云霞足浴店（个体工商户）,,MA7AT35T-4,92330225MA7AT35T4D,
,,,,,象山深泉文化传媒工作室,,MA2GRQ06-2,92330225MA2GRQ062N,
,,,,,宁波星嘉影业有限公司,,MA2H7436-3,91330225MA2H74363L,
,,,,,宁波恒馨檀香文化有限公司,,MA2H6HGQ-X,91330225MA2H6HGQXP,
,,,,,象山县丹西颖颖餐饮店,,MA7CC38M-5,92330225MA7CC38M55,
,,,,,象山子十影视文化工作室,,MA2J7C8H-9,92330225MA2J7C8H98,
,,,,,象山定塘香满园棋牌室,,MACTNDCY-0,92330225MACTNDCY0E,
,,,,,宁波象保合作区孙军影视制作工作室,,MA2AJ70R-3,92330201MA2AJ70R34,
,,,,,宁波橡缘花文化传播有限公司,,MAD65756-3,91330225MAD657563X,
,,,,,象山浦浦挖机租赁服务部,,MA2GUCBM-1,92330225MA2GUCBM1A,
,,,,,象山正鑫影视文化工作室,,MA2GUC7G-7,92330225MA2GUC7G71,
,,,,,象山吴金苗工程机械设备租赁服务部,,MA2GTGEG-7,92330225MA2GTGEG7X,
,,,,,象山森盛文化传媒工作室,,MACYQELR-4,92330225MACYQELR44,
,,,,,象山昌华影视文化工作室,,MA2GTHQH-4,92330225MA2GTHQH4M,
,,,,,象山县定塘阿志挖机租赁服务部,,MA2CLA0Q-6,92330225MA2CLA0Q6F,
,,,,,象山守望者文化传媒工作室,,MA2AHQWD-3,92330225MA2AHQWD3J,
,,,,,象山县博锐特艺术培训有限公司,,MABUGQF9-1,91330225MABUGQF91D,
,,,,,象山度渡文化传媒工作室,,MA7C9H4T-9,92330225MA7C9H4T9X,
,,,,,象山石浦海岛休闲渔业有限公司,,66558161-2,91330225665581612G,
,,,,,象山歌谣文化传媒工作室,,MA2J4X3Y-7,92330225MA2J4X3Y7N,
,,,,,象山誉驰汽车租赁有限公司,,MAD5XYKH-4,91330225MAD5XYKH49,
,,,,,象山杨山红工程机械设备租赁服务部,,MA2GU287-2,92330225MA2GU2872M,
,,,,,宁波马奔天下文化发展有限公司,,MABW28AR-3,91330225MABW28AR3A,
,,,,,象山丹城港城香烟店,,MA2ELC4X-6,92330225MA2ELC4X6Y,
,,,,,象山有墨文化传媒工作室,,MA2J5N7G-3,92330225MA2J5N7G3P,
,,,,,象山新桥立峰挖机租赁服务部,,MA2CL9Y5-8,92330225MA2CL9Y585,
,,,,,象山县新树人传媒有限公司,,MA2H5JQL-2,91330225MA2H5JQL2W,
,,,,,象山爵溪天武火锅店,,MA7D4Y12-9,92330225MA7D4Y129X,
,,,,,象山九一轻食餐饮店,,MA2GWMBF-2,92330225MA2GWMBF20,
,,,,,象山笑芳钢管租赁部,,MA7HP7JA-3,91330225MA7HP7JA3E,
,,,,,象山风影翼文化传媒工作室,,MA2GT7W6-5,92330225MA2GT7W65U,
,,,,,象山珊潇灵文化传媒工作室,,MABXBK6E-4,92330225MABXBK6E40,
,,,,,象山走点湾路民宿有限公司,,MA2GUANQ-5,91330225MA2GUANQ5W,
,,,,,象山古月民宿,,MA2J6UDY-3,92330225MA2J6UDY34,
,,,,,象山象来向往民宿（个体工商户）,,MAD7F6AJ-4,92330225MAD7F6AJ4F,
,,,,,宁波可璐广告工作室,,MA7B1PGQ-8,91330225MA7B1PGQ8T,
,,,,,象山俊杰健康产业发展有限公司,,MA2GQ1G7-9,91330225MA2GQ1G79D,
,,,,,象山福林影视文化工作室,,MA284NBW-4,92330225MA284NBW4C,
,,,,,象山定塘山沟沟农家客栈,,MA2EL68X-5,92330225MA2EL68X57,
,,,,,象山茹斐影视文化工作室,,MA2H78XE-0,92330225MA2H78XE01,
,,,,,象山一伟广告工作室,,MA2AFGC4-4,92330225MA2AFGC448,
,,,,,象山仁安针织辅料有限公司,,MA2CM1E6-2,91330225MA2CM1E62R,
,,,,,象山启智企业管理咨询服务部,,MA2KPM98-8,92330225MA2KPM9881,
,,,,,象山优步易行二手车经纪有限公司,,MA2AE2D5-5,91330225MA2AE2D558,
,,,,,象山鑫欣饭店,,MA2EL856-0,92330225MA2EL8560D,
,,,,,象山源明振跃文化传媒工作室,,MA2H5GFC-0,92330225MA2H5GFC0R,
,,,,,象山圆满家族影视文化有限公司,,MA291XK2-8,91330225MA291XK28C,
,,,,,宁波雪云影业有限公司,,MA2KNDEC-7,91330201MA2KNDEC77,
,,,,,象山静华布店,,MA7H9M49-3,92330225MA7H9M493K,
,,,,,象山爱峰广告工作室,,MACXX53W-3,92330225MACXX53W3N,
,,,,,象山石浦星耀台球俱乐部,,MABUUD1T-7,92330225MABUUD1T7L,
,,,,,浙江尚威影业发展有限公司,,MA7BDPX8-4,91330225MA7BDPX84L,
,,,,,象山龙宫旅游文化发展有限公司,,69139971-8,91330225691399718J,
,,,,,象山逸康足浴店,,MA2J6UH8-6,92330225MA2J6UH86D,
,,,,,宁波逢源农业旅游开发有限公司,,MA2H4XNC-2,91330225MA2H4XNC21,
,,,,,余姚市丈亭镇月娣服装店,,MA2EP59Y-9,92330281MA2EP59Y9D,
,,,,,余姚市寰球娱乐有限公司,,58398442-6,913302815839844262,
,,,,,宁波久格机械设备租赁有限公司,,MA2J7U41-1,91330281MA2J7U411T,
,,,,,余姚市星起点体育文化发展有限公司,,MA2H589U-8,91330281MA2H589U8C,
,,,,,余姚蔓式瑜伽馆,,MA2KP8AA-2,92330281MA2KP8AA2B,
,,,,,余姚市汤德忠棋牌室,,MA2EP816-7,92330281MA2EP8167N,
,,,,,余姚市棉的良品家居布艺有限公司,,MA2AE09G-4,92330281MA2AE09G4B,
,,,,,余姚市湘竹居湘菜馆,,MA2AHRK2-X,92330281MA2AHRK2XY,
,,,,,余姚市军灿工艺品厂（普通合伙）,,07145471-2,91330281071454712A,
,,,,,余姚市裕兴帐篷厂,,MA2GU9AU-2,92330281MA2GU9AU2B,
,,,,,余姚市民航售票处江南营业部,,MA8FWQAP-9,91330281MA8FWQAP9N,
,,,,,余姚楠楠饭店,,MA2GQF8L-0,92330281MA2GQF8L0N,
,,,,,余姚市星杰网吧,,08477131-1,91330281084771311N,
,,,,,余姚市海峡国际旅行社有限公司,,57054033-2,913302815705403326,
,,,,,宁波天鹰建筑工程有限公司,,MA2CHWMX-1,91330281MA2CHWMX1D,
,,,,,宁波弘驰运动用品有限公司,,58746505-X,9133028158746505X9,
,,,,,宁波稻米装饰设计有限公司,,MA2H7CAT-8,91330281MA2H7CAT8D,
,,,,,余姚市林枫票务代理服务部,,MA2GR9LC-9,92330281MA2GR9LC9T,
,,,,,余姚市城区骆氏兄弟彩扩部,,MA2EP58Y-2,92330281MA2EP58Y22,
,,,,,余姚市爱多棋牌室,,MA2ENAF8-7,92330281MA2ENAF87Y,
,,,,,余姚黑白间棋牌室（个体工商户）,,MAD5L7EQ-0,92330281MAD5L7EQ0U,
,,,,,余姚市公路运输有限公司站场经营分公司,,MA8FXH5G-4,91330281MA8FXH5G4Q,
,,,,,宁波潮信文化传媒有限公司,,MACNMC9F-2,91330281MACNMC9F21,
,,,,,余姚市城区爱欣文化用品经营部,,75037521-5,91330281750375215G,
,,,,,余姚大世界国际旅行社有限公司方桥门市部,,MA2CH37A-9,91330281MA2CH37A9E,
,,,,,余姚市羲之艺术培训有限公司,,MA2CH9EU-3,91330281MA2CH9EU3G,
,,,,,余姚市亿科工艺品厂,,MA2CMRFM-0,92330281MA2CMRFM06,
,,,,,余姚精进文化传播有限公司,,MA2CKJ93-4,91330281MA2CKJ934Y,
,,,,,余姚市建迪饭店,,MA2H7FCW-3,92330281MA2H7FCW3X,
,,,,,余姚市旭诚企业管理咨询服务部,,MA7CXGA3-2,92330281MA7CXGA329,
,,,,,余姚市姚东乐器配件厂,,MA2GUD2R-8,92330281MA2GUD2R8B,
,,,,,宁波市镱创广告传媒有限公司,,MA281U8D-2,91330281MA281U8D2Q,
,,,,,浙江臣歌文化旅游有限公司,,MA2H43AQ-2,91330281MA2H43AQ2G,
,,,,,余姚市甬上老屋川味餐厅,,MA29086H-8,92330281MA29086H8J,
,,,,,余姚市济仁书苑（普通合伙）,,MA281JN6-0,91330281MA281JN60R,
,,,,,余姚市白素真护肤品店,,MA2H542R-8,92330281MA2H542R8J,
,,,,,宁波炬薪文化传媒有限公司,,MAC4DUB5-6,91330281MAC4DUB56E,
,,,,,余姚市尖庭平面设计工作室,,MA2CM1EK-7,92330281MA2CM1EK7N,
,,,,,余姚市华馨棋牌室,,MA2J4QPB-X,92330281MA2J4QPBXP,
,,,,,余姚市低塘金萍酒家,,MA2EP48K-5,92330281MA2EP48K5Q,
,,,,,向南向北软装设计（宁波）有限公司,,MA2KQ2GN-6,91330281MA2KQ2GN6M,
,,,,,余姚市锐然工艺品厂,,MA28D2GA-8,91330782MA28D2GA86,
,,,,,余姚市林哥牛味馆,,MACXW7B8-8,92330281MACXW7B88Q,
,,,,,杭州肯德基有限公司余姚泗门分店,,79602172-X,9133028179602172XA,
,,,,,余姚市半日闲工艺品设计工作室,,MA2KQKAL-0,92330281MA2KQKAL0N,
,,,,,浙江鑫得保智能机械有限公司,,MA2J4M7P-9,91330281MA2J4M7P9Q,
,,,,,余姚市联恒广告传媒有限公司,,05381080-8,913302810538108088,
,,,,,余姚市逸书工艺品店,,MA2J7DBU-7,92330281MA2J7DBU7P,
,,,,,余姚市诺杭档案服务有限公司,,MA2AERCM-6,91330281MA2AERCM6F,
,,,,,余姚市银帘布艺店,,MA2CLP8B-5,92330281MA2CLP8B5D,
,,,,,余姚市杰茂纸业有限公司,,07922797-9,91330281079227979C,
,,,,,余姚市乾鸿珠宝行,,MA2CHBGC-4,92330281MA2CHBGC4T,
,,,,,余姚市杰仕广告装饰工程有限公司,,55795694-X,9133028155795694XH,
,,,,,余姚市博金广告有限公司,,58396201-6,91330281583962016C,
,,,,,余姚市余姚镇小荷书店,,MA2EP4QG-7,92330281MA2EP4QG7N,
,,,,,浙江天天商旅国际旅行社有限公司余姚金茂商都门市部,,MA8FXK8F-3,91330281MA8FXK8F34,
,,,,,余姚市芳凯餐馆（个体工商户）,,MAD2JFYF-6,92330281MAD2JFYF6J,
,,,,,余姚市金源棋牌室,,MA2J45L6-6,92330281MA2J45L661,
,,,,,宁波杰森工艺品有限公司,,05829278-X,9133028105829278XP,
,,,,,余姚市宣国芬快餐店,,MA2EPK46-9,92330281MA2EPK469D,
,,,,,余姚市城区林氏家电商行,,MA2ENL6T-1,92330281MA2ENL6T14,
,,,,,余姚市沁尚餐饮服务有限公司,,MABYQ54U-4,91330281MABYQ54U4A,
,,,,,余姚市陈小囡麻辣烫店,,MA2KP1MJ-3,92330281MA2KP1MJ3J,
,,,,,余姚市爱军家常菜馆,,MA2GWDN5-2,92330281MA2GWDN52D,
,,,,,余姚市钰琦美术培训有限公司,,MA2H5TAY-4,91330281MA2H5TAY4T,
,,,,,余姚市凯迪文印社,,MA2ENPBE-1,92330281MA2ENPBE1R,
,,,,,余姚市豫川饭店,,MA2GUU29-7,92330281MA2GUU297W,
,,,,,余姚市阿台家常菜馆,,MA2AFL24-4,92330281MA2AFL244F,
,,,,,余姚市俊浩棋牌室,,MA2CHC5W-0,92330281MA2CHC5W0P,
,,,,,余姚市红阳武术馆,,MA283JM3-0,92330281MA283JM30D,
,,,,,余姚市文君饭店,,MA2EPR0J-9,92330281MA2EPR0J9E,
,,,,,余姚市高桥网吧,,MA293A8J-9,91330281MA293A8J9T,
,,,,,宁波吉风日用品有限公司,,MA2CHJ57-5,91330200MA2CHJ575M,
,,,,,余姚乡伴旅游发展有限公司,,MA282QER-X,91330281MA282QERXW,
,,,,,余姚市建标大酒店有限公司,,78430752-8,913302817843075283,
,,,,,余姚市非鱼网络设计有限公司,,MA2EPYJG-4,92330281MA2EPYJG47,
,,,,,宁波梓鑫汽车服务有限公司,,MA2AHU8D-1,91330281MA2AHU8D1N,
,,,,,余姚市奇天乐器厂（普通合伙）,,78430108-9,91330281784301089L,
,,,,,宁波新亿广告装饰有限公司,,MA2925LJ-2,91330281MA2925LJ2D,
,,,,,余姚市仕芬网吧,,MA2900JM-X,91330281MA2900JMX5,
,,,,,余姚市城区繁荣照相店,,MA291UFF-4,92330281MA291UFF48,
,,,,,余姚市善艺广告工作室,,MA2H85E0-2,92330281MA2H85E02Q,
,,,,,余姚市迪丽餐饮服务有限公司,,MA2J3HRD-9,91330281MA2J3HRD90,
,,,,,余姚启维艺术培训有限公司,,MA2KN4HJ-9,91330281MA2KN4HJ9F,
,,,,,余姚市靓妍化妆品店,,MA2GQ40R-9,92330281MA2GQ40R9T,
,,,,,余姚市国年广告材料经营部,,MA2EPH41-X,92330281MA2EPH41XP,
,,,,,宁波市嘉千文化传媒有限公司,,MA2H820U-0,91330281MA2H820U0C,
,,,,,余姚市泗门靓丽今生化妆品店,,MA2EP0X9-3,92330281MA2EP0X93J,
,,,,,余姚市薇静建筑扣件经营部,,MA2EPRAP-1,92330281MA2EPRAP1K,
,,,,,余姚市欢乐谷电子游戏室,,67767922-X,9133028167767922XL,
,,,,,宁波吟秋广告有限公司,,MA282507-X,91330281MA282507XH,
,,,,,余姚市新江南温泉洗浴中心（普通合伙）,,MA8G05X4-2,91330281MA8G05X42R,
,,,,,余姚市慈云茶馆,,MA2AFJ4W-0,92330281MA2AFJ4W0Q,
,,,,,余姚市兴凯工业设计有限公司,,MA7GTKX9-0,91330281MA7GTKX901,
,,,,,余姚市易佰汽车租赁有限公司,,MA281N6T-1,91330281MA281N6T1K,
,,,,,余姚市惠芳钟表店,,MA2J6BCE-1,92330281MA2J6BCE17,
,,,,,余姚市顺霞大食堂,,MA2843D0-0,92330281MA2843D008,
,,,,,宁海县岔路镇葛家面馆,,MA2KQJDB-5,92330226MA2KQJDB52,
,,,,,宁海县阿忠文具店,,MA2EMEF3-1,92330226MA2EMEF31P,
,,,,,宁海肖岭机械设备租赁服务部,,MA2J49X7-1,92330226MA2J49X71X,
,,,,,宁海县青艺越剧团,,MA2CM1YJ-6,92330226MA2CM1YJ6Q,
,,,,,宁海县集益文化用品有限公司,,MA7DQG57-6,91330226MA7DQG576P,
,,,,,宁海明杰商务代理代办服务部,,MACE2BD8-0,92330226MACE2BD80K,
,,,,,宁海县郑敏娜化妆品店,,MA2CLJHN-4,92330226MA2CLJHN40,
,,,,,宁海纪伟机械设备租赁部,,MA2AHJKL-3,92330226MA2AHJKL3R,
,,,,,宁海京盾文化传播有限公司,,MA2GT76E-5,91330226MA2GT76E5Q,
,,,,,宁海森林温泉度假村有限公司,,79604566-8,91330226796045668F,
,,,,,宁海陆潮餐厅,,MA2J5L7U-2,92330226MA2J5L7U20,
,,,,,宁海县群霞护肤品店,,MA2CLG43-X,92330226MA2CLG43XH,
,,,,,宁海京明专业设计服务部,,MACMYF4J-6,92330226MACMYF4J65,
,,,,,宁海优客模具设计工作室,,MA2J7E1Q-3,92330226MA2J7E1Q32,
,,,,,宁波木禾旅游发展有限公司,,MA7NGG4H-6,91330226MA7NGG4H6M,
,,,,,宁波市华正信息技术有限公司,,77232206-9,913302267723220696,
,,,,,宁波登临文具有限公司,,MA2H75JC-7,91330226MA2H75JC72,
,,,,,宁波赞一赞商贸有限公司,,MAD6GB1R-0,92330226MAD6GB1R0Y,
,,,,,宁海县长街俞选唐民宿,,MA291GQ4-6,92330226MA291GQ462,
,,,,,宁海县梅林乐根坊根雕艺术设计工作室,,MA2EMPGU-9,92330226MA2EMPGU90,
,,,,,宁波昊翔航空票务有限公司,,MA2GWE3G-8,91330226MA2GWE3G85,
,,,,,宁海县爱德文具有限公司,,14496579-2,91330226144965792H,
,,,,,宁海县胡庆华餐馆,,MA28YB56-4,92330226MA28YB564U,
,,,,,宁波永申航空票务有限公司,,MA2GWRTA-X,91330226MA2GWRTAX2,
,,,,,宁海信禾文化传媒工作室,,MACXUDA6-0,92330226MACXUDA607,
,,,,,宁海县力洋镇心怡网吧,,66555190-7,913302266655519077,
,,,,,宁海廊桥饭店,,MA2CKWM1-6,92330226MA2CKWM16P,
,,,,,宁海县戴秀常文化传媒工作室,,MABP221B-2,92330226MABP221B2Q,
,,,,,宁海荭萱化妆品商行,,MA290AXL-8,92330226MA290AXL82,
,,,,,宁海林涛工艺品厂,,MA2GU8HP-3,92330226MA2GU8HP36,
,,,,,宁海县胡静货物托运代理点,,MA2H7A2L-6,92330226MA2H7A2L6D,
,,,,,宁海县跃龙街道宝通电子游戏厅,,MA2EMMFH-8,92330226MA2EMMFH8E,
,,,,,宁波金稳文化传媒有限公司,,MA293ER7-2,91330226MA293ER72J,
,,,,,宁海联亿国际展览有限公司,,69824301-1,91330226698243011A,
,,,,,宁波凯力悦户外用品有限公司,,MA2J3BH3-7,91330226MA2J3BH372,
,,,,,宁海康安文化传媒有限公司,,MA2GTRM3-1,91330226MA2GTRM318,
,,,,,宁海县嘉亮餐馆,,MA28Y32U-X,92330226MA28Y32UX4,
,,,,,宁海山有文化传媒工作室,,MACMHYGF-9,92330226MACMHYGF97,
,,,,,宁海县深甽慧民家政服务中心,,MA2EMFW1-6,92330226MA2EMFW166,
,,,,,宁海县三艺木雕工艺品店,,MA291A38-6,92330226MA291A386K,
,,,,,宁海县宇福市场营销策划服务部,,MA2GU2Y7-8,92330226MA2GU2Y78K,
,,,,,宁波美高文具有限公司,,MA2CH2LQ-6,91330226MA2CH2LQ6H,
,,,,,宁海西店飞义餐饮店,,MA2H5R8N-6,92330226MA2H5R8N6E,
,,,,,宁海宝皇汽车销售服务有限公司,,67766869-4,91330226677668694H,
,,,,,宁海县鑫隆源宾馆,,MA2EMCP6-4,92330226MA2EMCP643,
,,,,,宁海萌之兔语文化传媒有限公司,,MAC4TF4A-9,91330226MAC4TF4A9E,
,,,,,宁海县万佳宾馆,,MA2EMUD7-5,92330226MA2EMUD75T,
,,,,,宁波贝儿乐休闲用品有限公司,,MACB5QKH-3,91330226MACB5QKH3Q,
,,,,,宁海鼎泰汽车租赁有限公司,,MA2GRPW5-5,91330226MA2GRPW558,
,,,,,宁海弘艺越剧团,,31699127-7,91330226316991277R,
,,,,,宁海俞桐里民宿,,MA2H5Q32-X,92330226MA2H5Q32XD,
,,,,,宁海县喜气洋洋艺术培训有限公司梅林分公司,,MA2CK2E9-9,91330226MA2CK2E99Q,
,,,,,宁海县迈豪饭店,,MA2GUJ1M-7,92330226MA2GUJ1M7X,
,,,,,宁海县启鸿图文设计服务部,,MA2KPRU4-2,92330226MA2KPRU42U,
,,,,,宁海县凯凯模塑厂,,76854277-1,91330226768542771X,
,,,,,宁海燕山物业服务有限公司,,MA2CHTX2-X,91330226MA2CHTX2XJ,
,,,,,宁海县思蜀川菜馆,,MA2CMPJQ-3,92330226MA2CMPJQ3G,
,,,,,宁海县陈中松棋牌室,,MACU2YXH-9,92330226MACU2YXH9E,
,,,,,宁海方润广告设计工作室（个体工商户）,,MAD2YW1L-3,92330226MAD2YW1L30,
,,,,,浙江华严文化传播有限公司宁海营业部,,MA2CMTP1-8,91330226MA2CMTP18D,
,,,,,宁海县晶瑜电子商务商行,,MA2J7NJ6-9,92330226MA2J7NJ69C,
,,,,,宁海鑫汇餐饮管理有限公司,,MABTRLH8-1,91330226MABTRLH81C,
,,,,,宁海县开天照相器材商行,,MA2J3RTJ-8,92330226MA2J3RTJ8R,
,,,,,宁海县劲锐文具厂,,MA2CKTC0-6,91330226MA2CKTC068,
,,,,,宁海岚风广告设计工作室,,MAC5R5DT-4,92330226MAC5R5DT42,
,,,,,宁波芈可文化传媒有限公司,,MA2GUH3A-6,91330226MA2GUH3A6N,
,,,,,宁海县满珍大酒店赵家分店,,MA2J3DB5-0,91330226MA2J3DB50T,
,,,,,宁海川木装饰设计服务部,,MA2GWY1H-8,92330226MA2GWY1H8B,
,,,,,宁海县一鼎汽车服务有限公司,,56389317-2,91330226563893172Y,
,,,,,宁海县葛民辉挖机租赁服务部,,MA2GTHX1-8,92330226MA2GTHX18C,
,,,,,宁海县仁泽机械设备租赁服务部,,MA2CJ1TG-3,92330226MA2CJ1TG3F,
,,,,,宁波索图餐饮管理有限公司,,MA7HUK95-1,91330226MA7HUK9514,
,,,,,宁海县桥头胡鑫意浴室,,MA2AF3NP-0,92330226MA2AF3NP0Q,
,,,,,宁海京普企业管理咨询服务部,,MACNND9U-3,92330226MACNND9U3P,
,,,,,宁海县海小塘餐饮有限公司,,MACTEMHJ-5,91330226MACTEMHJ5B,
,,,,,宁海李永豹餐厅,,MA2GQ1KC-5,92330226MA2GQ1KC5J,
,,,,,宁海县双陈快餐店,,MA293KJ3-5,92330226MA293KJ351,
,,,,,宁波传世健身器材有限公司,,76148688-5,91330226761486885Y,
,,,,,宁海县西店霞芳烘焙店,,MA2H5EDY-2,92330226MA2H5EDY27,
,,,,,宁海腾跃广告策划有限公司,,MA2H5KNP-9,91330226MA2H5KNP90,
,,,,,宁波新文书报刊经营有限公司大庆南路报刊亭,,MA28YDE1-6,91330205MA28YDE164,
,,,,,宁波莱玛广告有限公司,,34047297-9,913302053404729796,
,,,,,浙江天天商旅国际旅行社有限公司宁波慈城门市部,,57052698-7,91330205570526987N,
,,,,,宁波江北嘉运机械设备安装服务部（个体工商户）,,MACL3PXP-7,92330225MACL3PXP73,
,,,,,宁波市江北星晋饮品店,,MA2AEDDF-7,92330205MA2AEDDF76,
,,,,,宁波融悦出行汽车租赁有限公司,,MA281X7J-3,91330205MA281X7J3P,
,,,,,浙江龙吟大江户餐饮管理有限公司宁波万象城名炙烤肉店,,MA2J5KDH-1,91330205MA2J5KDH13,
,,,,,宁波光网文化发展有限公司,,MA284TPN-6,91330212MA284TPN6M,
,,,,,宁波市江北梦紫阳标牌制作服务部,,MA29075X-X,92330205MA29075XX1,
,,,,,宁波市江北外滩老字号文化展示有限公司,,58745553-X,9133020558745553XR,
,,,,,宁波市江北美吉家居用品有限公司,,78675468-X,9133020578675468XM,
,,,,,宁波国际旅行社有限公司第一分公司,,79954894-9,91330212799548949D,
,,,,,宁波富广芬纸业有限公司,,MA2H5MF5-X,91330205MA2H5MF5XL,
,,,,,宁波江北易安汽车租赁有限公司,,MA282H43-5,91330205MA282H435E,
,,,,,宁波市江北荟宝化妆品店,,MA2H7KY9-9,92330205MA2H7KY99X,
,,,,,宁波江北燃金餐饮店,,MABWX7Q0-0,92330205MABWX7Q00E,
,,,,,宁波市江北亚州日湖会餐饮娱乐有限公司,,79301941-3,913302057930194135,
,,,,,宁波市江北区松风桧语设计工作室,,MA7L13U7-0,91330205MA7L13U70N,
,,,,,宁波市江北明而达眼镜店,,MA2AH1JD-2,92330205MA2AH1JD2H,
,,,,,宁波江北达膳餐饮有限公司,,MA2831BX-7,91330205MA2831BX7B,
,,,,,宁波那一野向日葵艺术培训有限公司,,MA2CHN9K-8,91330205MA2CHN9K87,
,,,,,宁波市江北晨浠广告服务部,,MA2J44D8-9,92330205MA2J44D89B,
,,,,,宁波市江北声韵电子有限公司,,58747144-1,913302055874714411,
,,,,,宁波梓盛数字文化有限公司,,MACEGH8T-3,91330205MACEGH8T3G,
,,,,,宁波云酷科技有限公司,,MA2AH5D8-4,91330205MA2AH5D846,
,,,,,宁波文浩商业管理有限公司,,MA7M866E-2,91330205MA7M866E2B,
,,,,,宁波经济技术开发区恒信贸易发展有限公司江北办事处,,MA2938UJ-3,91330205MA2938UJ3K,
,,,,,宁波子曦文化传播有限公司,,MA8FW60B-6,91330205MA8FW60B64,
,,,,,昇雁（宁波）珠宝有限公司,,MA290D06-3,91330205MA290D063T,
,,,,,宁波威成文化传媒有限公司,,69507483-0,913302016950748306,
,,,,,宁波嘉明汽车服务有限公司,,MA2J4U24-7,91330205MA2J4U247U,
,,,,,宁波市江北慈城素娇面馆,,MA2H5CWP-4,92330205MA2H5CWP4F,
,,,,,宁海君临天下旅行社有限公司江北洪塘门市部,,MAD7F76J-1,91330205MAD7F76J1T,
,,,,,宁波华臻旭艺文化传媒有限公司,,MAC776D4-5,91330212MAC776D459,
,,,,,锦鲤（宁波市）艺术培训有限公司,,MA2CKHKA-6,91330205MA2CKHKA6U,
,,,,,宁波郎真文化有限公司,,MA2H4WGL-9,91330205MA2H4WGL9N,
,,,,,浙江省电信实业集团有限公司宁波市分公司,,78432300-X,9133020578432300X6,
,,,,,宁波江北崔宇办公用品经营部,,MA2J764A-X,92330205MA2J764AXX,
,,,,,浙江同生人力资源管理服务有限公司宁波江北餐饮分公司,,MACNNDW1-2,91330205MACNNDW12B,
,,,,,宁波市普世达泳池用品有限公司,,67124373-2,91330205671243732A,
,,,,,宁波新文书报刊经营有限公司日湖公园报刊亭,,MA28YDEN-6,91330205MA28YDEN6R,
,,,,,宁波市江北原时烤肉店,,MA2GUJLX-4,92330205MA2GUJLX4B,
,,,,,宁波市江北宁宁小吃店,,MA2AJC7P-5,92330205MA2AJC7P5X,
,,,,,宁波江北区安沁市场营销策划服务部,,MABMJQUK-6,92330205MABMJQUK69,
,,,,,宁波市江北一丰钢管租赁站,,MA2GQ3YB-1,92330205MA2GQ3YB1L,
,,,,,宁波寰普企业管理有限公司,,MAC43PYD-X,91330205MAC43PYDXD,
,,,,,宁波琦玉广告传媒有限公司,,MA2H5AYA-9,91330205MA2H5AYA9H,
,,,,,宁波天越房地产营销策划有限公司,,MA284HPF-8,91330205MA284HPF8F,
,,,,,宁波江北岳宝洋餐饮店（个体工商户）,,MA2EM82M-8,92330205MA2EM82M8D,
,,,,,宁波恒升广告有限公司,,MA2AFL8F-2,91330212MA2AFL8F2U,
,,,,,宁波市江北盛行教育信息咨询有限公司,,MA2CHUGU-3,91330205MA2CHUGU3U,
,,,,,宁波市江北常洪大酒店有限公司,,76149539-4,91330205761495394K,
